t,rms
2.793,0.0246104
2.796,0.0246761
2.799,0.0247436
2.802,0.0248129
2.805,0.0248839
2.808,0.0249566
2.811,0.0250307
2.814,0.0251062
2.817,0.0251831
2.82,0.0252612
2.823,0.0253404
2.826,0.0254206
2.829,0.0255017
2.832,0.0255836
2.835,0.0256663
2.838,0.0257495
2.841,0.0258333
2.844,0.0259175
2.847,0.0260019
2.85,0.0260866
2.853,0.0261713
2.856,0.026256
2.859,0.0263407
2.862,0.0264251
2.865,0.0265092
2.868,0.0265929
2.871,0.026676
2.874,0.0267586
2.877,0.0268405
2.88,0.0269215
2.883,0.0270017
2.886,0.0270809
2.889,0.027159
2.892,0.027236
2.895,0.0273117
2.898,0.0273861
2.901,0.027459
2.904,0.0275305
2.907,0.0276004
2.91,0.0276686
2.913,0.0277352
2.916,0.0277999
2.919,0.0278627
2.922,0.0279237
2.925,0.0279826
2.928,0.0280395
2.931,0.0280943
2.934,0.0281469
2.937,0.0281972
2.94,0.0282454
2.943,0.0282912
2.946,0.0283346
2.949,0.0283756
2.952,0.0284142
2.955,0.0284504
2.958,0.028484
2.961,0.0285151
2.964,0.0285437
2.967,0.0285696
2.97,0.028593
2.973,0.0286138
2.976,0.028632
2.979,0.0286475
2.982,0.0286604
2.985,0.0286706
2.988,0.0286782
2.991,0.0286832
2.994,0.0286856
2.997,0.0286853
3,0.0286825
3.003,0.028677
3.006,0.028669
3.009,0.0286585
3.012,0.0286454
3.015,0.0286298
3.018,0.0286118
3.021,0.0285914
3.024,0.0285686
3.027,0.0285434
3.03,0.0285159
3.033,0.0284862
3.036,0.0284542
3.039,0.0284201
3.042,0.0283838
3.045,0.0283455
3.048,0.0283052
3.051,0.028263
3.054,0.0282189
3.057,0.0281729
3.06,0.0281252
3.063,0.0280758
3.066,0.0280248
3.069,0.0279722
3.072,0.0279181
3.075,0.0278626
3.078,0.0278058
3.081,0.0277477
3.084,0.0276885
3.087,0.0276281
3.09,0.0275667
3.093,0.0275043
3.096,0.0274411
3.099,0.0273771
3.102,0.0273123
3.105,0.027247
3.108,0.027181
3.111,0.0271147
3.114,0.0270479
3.117,0.0269808
3.12,0.0269135
3.123,0.0268461
3.126,0.0267786
3.129,0.0267111
3.132,0.0266437
3.135,0.0265765
3.138,0.0265096
3.141,0.026443
3.144,0.0263769
3.147,0.0263112
3.15,0.0262461
3.153,0.0261817
3.156,0.026118
3.159,0.0260551
3.162,0.025993
3.165,0.0259319
3.168,0.0258718
3.171,0.0258128
3.174,0.0257549
3.177,0.0256982
3.18,0.0256428
3.183,0.0255887
3.186,0.025536
3.189,0.0254847
3.192,0.0254349
3.195,0.0253867
3.198,0.0253401
3.201,0.0252951
3.204,0.0252518
3.207,0.0252102
3.21,0.0251704
3.213,0.0251325
3.216,0.0250963
3.219,0.0250621
3.222,0.0250298
3.225,0.0249994
3.228,0.024971
3.231,0.0249446
3.234,0.0249202
3.237,0.0248979
3.24,0.0248776
3.243,0.0248593
3.246,0.0248432
3.249,0.0248291
3.252,0.0248172
3.255,0.0248073
3.258,0.0247995
3.261,0.0247939
3.264,0.0247903
3.267,0.0247888
3.27,0.0247894
3.273,0.0247921
3.276,0.0247968
3.279,0.0248036
3.282,0.0248124
3.285,0.0248232
3.288,0.0248359
3.291,0.0248506
3.294,0.0248673
3.297,0.0248858
3.3,0.0249062
3.303,0.0249285
3.306,0.0249525
3.309,0.0249783
3.312,0.0250058
3.315,0.025035
3.318,0.0250658
3.321,0.0250982
3.324,0.0251321
3.327,0.0251675
3.33,0.0252044
3.333,0.0252427
3.336,0.0252823
3.339,0.0253231
3.342,0.0253653
3.345,0.0254085
3.348,0.0254529
3.351,0.0254984
3.354,0.0255448
3.357,0.0255922
3.36,0.0256404
3.363,0.0256895
3.366,0.0257393
3.369,0.0257898
3.372,0.0258409
3.375,0.0258926
3.378,0.0259447
3.381,0.0259973
3.384,0.0260502
3.387,0.0261035
3.39,0.0261569
3.393,0.0262106
3.396,0.0262643
3.399,0.026318
3.402,0.0263718
3.405,0.0264254
3.408,0.0264789
3.411,0.0265321
3.414,0.0265851
3.417,0.0266377
3.42,0.0266899
3.423,0.0267417
3.426,0.0267929
3.429,0.0268435
3.432,0.0268935
3.435,0.0269428
3.438,0.0269913
3.441,0.027039
3.444,0.0270859
3.447,0.0271318
3.45,0.0271767
3.453,0.0272207
3.456,0.0272636
3.459,0.0273053
3.462,0.0273459
3.465,0.0273853
3.468,0.0274235
3.471,0.0274604
3.474,0.027496
3.477,0.0275302
3.48,0.027563
3.483,0.0275945
3.486,0.0276244
3.489,0.0276529
3.492,0.0276799
3.495,0.0277053
3.498,0.0277292
3.501,0.0277515
3.504,0.0277723
3.507,0.0277914
3.51,0.0278089
3.513,0.0278247
3.516,0.0278389
3.519,0.0278515
3.522,0.0278624
3.525,0.0278716
3.528,0.0278791
3.531,0.027885
3.534,0.0278892
3.537,0.0278917
3.54,0.0278925
3.543,0.0278918
3.546,0.0278893
3.549,0.0278852
3.552,0.0278795
3.555,0.0278722
3.558,0.0278633
3.561,0.0278529
3.564,0.0278409
3.567,0.0278273
3.57,0.0278123
3.573,0.0277957
3.576,0.0277778
3.579,0.0277583
3.582,0.0277375
3.585,0.0277154
3.588,0.0276919
3.591,0.0276671
3.594,0.0276411
3.597,0.0276138
3.6,0.0275854
3.603,0.0275558
3.606,0.0275251
3.609,0.0274934
3.612,0.0274606
3.615,0.0274269
3.618,0.0273923
3.621,0.0273567
3.624,0.0273204
3.627,0.0272833
3.63,0.0272454
3.633,0.0272068
3.636,0.0271677
3.639,0.0271279
3.642,0.0270876
3.645,0.0270468
3.648,0.0270056
3.651,0.0269639
3.654,0.026922
3.657,0.0268798
3.66,0.0268374
3.663,0.0267948
3.666,0.026752
3.669,0.0267092
3.672,0.0266664
3.675,0.0266236
3.678,0.0265809
3.681,0.0265384
3.684,0.026496
3.687,0.0264539
3.69,0.026412
3.693,0.0263705
3.696,0.0263293
3.699,0.0262886
3.702,0.0262484
3.705,0.0262087
3.708,0.0261696
3.711,0.026131
3.714,0.0260932
3.717,0.026056
3.72,0.0260196
3.723,0.0259839
3.726,0.0259491
3.729,0.0259151
3.732,0.025882
3.735,0.0258498
3.738,0.0258186
3.741,0.0257884
3.744,0.0257592
3.747,0.0257311
3.75,0.0257041
3.753,0.0256781
3.756,0.0256533
3.759,0.0256297
3.762,0.0256072
3.765,0.025586
3.768,0.0255659
3.771,0.0255471
3.774,0.0255296
3.777,0.0255133
3.78,0.0254984
3.783,0.0254847
3.786,0.0254723
3.789,0.0254613
3.792,0.0254515
3.795,0.0254431
3.798,0.025436
3.801,0.0254303
3.804,0.0254259
3.807,0.0254228
3.81,0.025421
3.813,0.0254206
3.816,0.0254215
3.819,0.0254236
3.822,0.0254271
3.825,0.0254319
3.828,0.025438
3.831,0.0254453
3.834,0.0254539
3.837,0.0254637
3.84,0.0254747
3.843,0.0254869
3.846,0.0255003
3.849,0.0255148
3.852,0.0255305
3.855,0.0255473
3.858,0.0255651
3.861,0.0255841
3.864,0.025604
3.867,0.0256249
3.87,0.0256468
3.873,0.0256696
3.876,0.0256934
3.879,0.025718
3.882,0.0257434
3.885,0.0257696
3.888,0.0257966
3.891,0.0258243
3.894,0.0258528
3.897,0.0258818
3.9,0.0259115
3.903,0.0259418
3.906,0.0259726
3.909,0.0260039
3.912,0.0260357
3.915,0.0260678
3.918,0.0261004
3.921,0.0261333
3.924,0.0261665
3.927,0.0261999
3.93,0.0262336
3.933,0.0262674
3.936,0.0263014
3.939,0.0263354
3.942,0.0263695
3.945,0.0264036
3.948,0.0264377
3.951,0.0264717
3.954,0.0265055
3.957,0.0265393
3.96,0.0265728
3.963,0.0266061
3.966,0.0266391
3.969,0.0266718
3.972,0.0267041
3.975,0.0267361
3.978,0.0267676
3.981,0.0267987
3.984,0.0268293
3.987,0.0268594
3.99,0.0268888
3.993,0.0269177
3.996,0.026946
3.999,0.0269736
4.002,0.0270006
4.005,0.0270268
4.008,0.0270523
4.011,0.027077
4.014,0.0271009
4.017,0.027124
4.02,0.0271462
4.023,0.0271676
4.026,0.0271881
4.029,0.0272076
4.032,0.0272263
4.035,0.027244
4.038,0.0272607
4.041,0.0272765
4.044,0.0272913
4.047,0.0273051
4.05,0.0273178
4.053,0.0273296
4.056,0.0273403
4.059,0.0273499
4.062,0.0273585
4.065,0.0273661
4.068,0.0273726
4.071,0.027378
4.074,0.0273824
4.077,0.0273857
4.08,0.027388
4.083,0.0273892
4.086,0.0273893
4.089,0.0273884
4.092,0.0273865
4.095,0.0273835
4.098,0.0273795
4.101,0.0273745
4.104,0.0273684
4.107,0.0273614
4.11,0.0273534
4.113,0.0273445
4.116,0.0273346
4.119,0.0273237
4.122,0.027312
4.125,0.0272993
4.128,0.0272858
4.131,0.0272714
4.134,0.0272562
4.137,0.0272402
4.14,0.0272233
4.143,0.0272058
4.146,0.0271874
4.149,0.0271684
4.152,0.0271487
4.155,0.0271283
4.158,0.0271073
4.161,0.0270857
4.164,0.0270635
4.167,0.0270408
4.17,0.0270175
4.173,0.0269938
4.176,0.0269696
4.179,0.026945
4.182,0.02692
4.185,0.0268946
4.188,0.0268689
4.191,0.0268429
4.194,0.0268167
4.197,0.0267902
4.2,0.0267635
4.203,0.0267367
4.206,0.0267097
4.209,0.0266827
4.212,0.0266555
4.215,0.0266284
4.218,0.0266012
4.221,0.0265741
4.224,0.0265471
4.227,0.0265201
